data,trip_creation_time,route_schedule_uuid,route_type,trip_uuid,source_center,source_name,destination_center,destination_name,od_start_time,od_end_time,start_scan_to_end_scan,is_cutoff,cutoff_factor,cutoff_timestamp,actual_distance_to_destination,actual_time,osrm_time,osrm_distance,factor,segment_actual_time,segment_osrm_time,segment_osrm_distance,segment_factor
test,2018-09-28 19:16:29.601892,thanos::sroute:a3414a57-5b1f-4cc0-bf8e-1a46456c9f53,FTL,trip-153816218960151511,IND416012AAA,Kolhapur_Shivaji_I (Maharashtra),IND395023AAA,Surat_HUB (Gujarat),2018-09-29 14:23:26.490342,2018-09-30 05:22:28.492959,899.0,True,242,2018-09-29 21:50:12,243.04146582986908,440.0,216.0,295.5176,2.037037037037037,34.0,20.0,26.8168,1.7
training,2018-09-19 14:46:37.990212,thanos::sroute:87643cee-18e1-48a0-bb6b-95e206f01c98,Carting,trip-153736839798997660,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND110064AAA,Delhi_Mayapuri_PC (Delhi),2018-09-19 14:46:37.990212,2018-09-19 18:40:14.931088,233.0,True,27,2018-09-19 17:33:25,27.163723134484663,57.0,38.0,34.788599999999995,1.5,11.0,9.0,10.1757,1.2222222222222223
training,2018-09-17 16:02:39.721427,thanos::sroute:ff6d6662-580b-43c3-810c-ba3027000f79,Carting,trip-153720015972108444,IND144001AAC,Jalandhar_Sodal Road (Punjab),IND160002AAC,Chandigarh_Mehmdpur_H (Punjab),2018-09-17 16:02:39.721427,2018-09-17 22:30:00.487823,387.0,True,144,2018-09-17 18:14:10,144.02837207123594,238.0,109.0,155.3678,2.18348623853211,12.0,6.0,8.5244,2.0
training,2018-09-15 00:24:42.676878,thanos::sroute:64d4c6c9-ffb9-4794-b9f1-05f064c9dd0d,FTL,trip-153697108267651886,IND110037AAM,Delhi_Airport_H (Delhi),IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),2018-09-15 00:24:42.676878,2018-09-16 17:55:55.615860,2491.0,True,902,2018-09-15 11:36:08,902.4852047174028,1724.0,818.0,1130.9626,2.1075794621026893,42.0,24.0,33.4093,1.75
training,2018-09-24 10:08:09.819893,thanos::sroute:18104c25-811c-4b93-8c92-8c6923c879cb,FTL,trip-153778368981951440,IND421302AAG,Bhiwandi_Mankoli_HB (Maharashtra),IND562132AAA,Bangalore_Nelmngla_H (Karnataka),2018-09-24 10:08:09.819893,2018-09-25 14:05:28.236880,1677.0,True,682,2018-09-24 21:23:51,682.6454177226203,999.0,563.0,782.8276999999999,1.7744227353463589,41.0,34.0,29.8959,1.2058823529411764
training,2018-09-23 15:30:38.146740,thanos::sroute:2c33e360-7e52-4d2c-a9db-fe24996829c7,FTL,trip-153771663814650935,IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),IND501359AAE,Hyderabad_Shamshbd_H (Telangana),2018-09-23 15:30:38.146740,2018-09-25 13:32:16.010593,2761.0,True,506,2018-09-24 23:03:58,506.33324572755873,793.0,464.0,620.1297,1.709051724137931,21.0,16.0,23.1407,1.3125
training,2018-09-13 19:33:52.859525,thanos::sroute:a3414a57-5b1f-4cc0-bf8e-1a46456c9f53,FTL,trip-153686723285930284,IND395023AAA,Surat_HUB (Gujarat),IND382430AAB,Ahmedabad_East_H_1 (Gujarat),2018-09-15 06:07:36.211934,2018-09-15 15:57:55.246324,590.0,True,176,2018-09-15 11:04:04,176.37662087155854,276.0,158.0,216.2252,1.7468354430379749,46.0,20.0,24.3261,2.3
test,2018-09-28 16:14:16.288292,thanos::sroute:51d8aa58-9b5b-4bc2-81e9-bb284c6b3293,FTL,trip-153815125628803935,IND825409AAA,JhumriTlya_RadhaCpx_D (Jharkhand),IND000000ACB,Gurgaon_Bilaspur_HB (Haryana),2018-09-29 04:01:18.165294,2018-09-30 05:36:01.331791,1534.0,True,572,2018-09-29 16:50:49,572.7199083222731,764.0,471.0,623.8546,1.6220806794055205,23.0,19.0,28.1019,1.2105263157894737
test,2018-09-27 19:54:18.779294,thanos::sroute:55f92e5f-4e98-4f2c-944d-98aceb61525b,FTL,trip-153807805877901759,IND854326AAB,Purnia_Central_H_2 (Bihar),IND852131AAA,Supaul_SadrHsptl_D (Bihar),2018-09-27 19:54:18.779294,2018-09-28 02:06:42.385856,372.0,True,44,2018-09-28 00:23:39,45.34492510736381,65.0,35.0,50.7266,1.8571428571428568,35.0,19.0,27.0562,1.8421052631578947
training,2018-09-25 06:52:21.637102,thanos::sroute:14c55592-ba2e-4f72-820c-3a22334137cd,FTL,trip-153785834163684464,IND562132AAA,Bangalore_Nelmngla_H (Karnataka),IND462022AAA,Bhopal_Trnsport_H (Madhya Pradesh),2018-09-25 06:52:21.637102,2018-09-26 18:43:41.953898,2151.0,True,396,2018-09-26 03:27:15,396.2402520067548,894.0,381.0,536.1104,2.3464566929133857,60.0,34.0,48.7004,1.7647058823529411
